player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jaylen Warren,98692,HB,PIT,5,-1.5,13,87.5,,0,0,0,4.5,1,7,25,0,71.3,43.2,61.3,17.1,72.6,2.1,2,0,30,16.5,16,97,0,21,79.4,77,5.2,5,95.5,24,0,4.1,4,166,204,9.7,7.9,2.16
George Kittle,11901,TE,SF,6,8.8,5,75.0,33.3,1,3,0,10.0,2,10,28,0,57.4,74.1,77.4,80.5,69.8,61.1,116,0,38,9.5,18,190,1,18,82.6,157,31.6,60,141.7,24,3,6.3,12,216,99,5.5,12.0,1.38
JuJu Smith-Schuster,11817,WR,NE,5,5.8,0,58.3,60.0,3,5,0,12.5,2,4,19,0,49.8,72.7,53.0,,53.9,0.0,0,1,15,0.0,0,103,1,14,94.2,97,52.4,54,48.3,24,0,47.6,49,86,33,2.4,6.1,0.89
Kadarius Toney,61245,WR,KC,6,2.3,7,70.8,0.0,0,1,0,10.5,2,8,16,1,54.3,25.5,62.5,,65.1,0.0,0,1,17,0.0,0,75,0,17,97.3,73,44.0,33,73.6,24,1,53.3,40,92,89,5.2,5.4,1.26
Dawson Knox,35883,TE,BUF,6,7.0,1,58.3,0.0,0,4,0,17.6,3,6,4,0,36.3,72.7,48.6,72.8,48.9,36.2,64,1,15,7.9,14,177,1,14,86.4,153,45.2,80,63.2,24,1,14.1,25,92,54,3.9,6.6,0.6
Parris Campbell,47940,WR,NYG,5,3.8,2,69.6,66.7,2,3,0,5.9,1,1,21,0,67.7,74.5,50.8,,50.2,0.8,1,2,17,0.0,0,118,0,16,92.4,109,79.7,94,39.2,23,0,18.6,22,85,43,2.7,5.3,0.78
Jaxon Smith-Njigba,129758,WR,SEA,5,4.2,2,69.6,0.0,0,2,0,11.1,2,4,29,0,52.8,73.3,56.0,,55.8,0.0,0,2,18,0.0,0,140,0,16,93.6,131,77.1,108,43.8,23,0,22.9,32,110,88,5.5,6.9,0.84
Michael Wilson,84423,WR,ARZ,6,15.9,1,78.3,57.1,4,7,0,5.3,1,14,1,0,69.0,73.9,71.0,68.1,71.1,0.0,0,0,69,0.5,1,185,1,18,93.5,173,28.1,52,147.7,23,2,71.9,133,317,78,4.3,17.6,1.83
Travis Etienne Jr.,57185,HB,JAX,6,-0.7,10,91.3,0.0,0,1,0,4.5,1,8,15,0,72.1,89.2,70.4,55.9,67.6,0.0,0,0,22,18.6,38,204,1,21,76.0,155,4.4,9,97.8,23,0,10.3,21,172,185,8.8,8.2,1.11
Luke Musgrave,98499,TE,GB,5,7.3,1,78.3,100.0,1,1,0,5.3,1,5,12,0,68.7,73.9,59.5,52.4,59.1,46.4,65,0,37,9.3,13,140,1,18,87.1,122,47.1,66,95.5,23,0,6.4,9,159,93,5.2,8.8,1.3
